"","id","entidad","sexo","edad","nivel_esc","esc_cve","esc_nombre","lenguaje","cognitivas","sociales","tecnicas","puesto","year_exp","bin_year_exp","trabajos_n","palabras_n","validaciones_n","contactos_n","rimbo_n","carrera_cve","sostenimiento","experiencia","p1","p2","p3","puesto_1"
"5",2006,9,"1","35","1",671,"EL COLEGIO DE MÉXICO, A.C.",0,0,1,0,"4",10,1,14,14,0,500,0,3,"1","1",3,2,16000,1
"7",2008,9,"1","34","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,2,5,0,"4",6,1,6,139,114,311,0,6,"1","1",3,3,18000,1
"11",2012,15,"2","33","1",671,"EL COLEGIO DE MÉXICO, A.C.",1,13,12,4,"4",10,1,22,242,426,500,0,4,"1","1",3,3,11000,1
"18",2030,9,"1","35","1",590,"INSTITUTO TECNOLÓGICO AUTÓNOMO DE MÉXICO",1,9,5,2,"1",10,1,12,352,114,500,0,3,"0","1",3,1,10500,0
"21",2035,9,"1","33","2",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",1,0,10,1,"2",10,1,22,526,104,500,0,6,"0","1",4,3,12000,0
"23",2037,22,"1","35","2",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,9,8,1,"4",10,1,12,384,0,93,0,7,"0","1",2,2,7500,1
"32",2055,9,"1","31","2",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,3,9,2,"4",6,1,10,123,6,601,4,10,"0","1",3,2,11000,1
"35",2059,9,"2","36","2",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,5,3,0,"4",5,1,11,76,18,575,0,6,"0","1",3,3,18000,1
"39",2065,9,"2","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,6,11,4,"2",8,1,12,229,84,477,2,2,"1","1",3,3,19000,0
"40",2066,19,"2","35","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,2,3,0,"4",8,1,16,96,0,198,0,4,"1","1",3,3,18000,1
"46",2072,15,"2","36","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,5,10,2,"4",12,1,17,153,167,500,1,3,"1","1",4,3,12000,1
"56",2093,9,"2","31","2",1649,"UNIVERSIDAD LUCERNA",1,3,0,2,"4",5,1,13,76,14,137,0,6,"0","1",3,3,17000,1
